wds_id,discov#,comp,first,last,obs,pa_first,pa_last,sep_first,sep_last,mag1,mag2,spectr,pm1_ra,pm1_dec,pm2_ra,pm2_dec,notes,coord_arcsec_2000,pm1,pm2,rPM,pri_source,sec_source,pri_plx,sec_plx,pri_e_plx,sec_e_plx,pri_gaia_gmag,sec_gaia_gmag,pri_gaia_pmra,pri_gaia_pmdec,sec_gaia_pmra,sec_gaia_pmdec,min_rad_sep_pc,min_rad_sep_au,min_rad_sep_ly
13417-8035,HJ 4594,,1837,2016,14,280,279,6.0,5.4,10.06,10.16,G2/5V,71.0,64.0,73.0,65.0,V,134145.76-803433.7,95.58765610684259,97.74456506629922,0.023392852890967812,5783650347172346496,5783650312813000576,8.1724,8.2071,0.02449999935925007,0.010099999606609344,9.815161,9.950165,70.606,65.17,72.777,65.826,0.0014883323421628347,306.99058218750423,0.004854290855585068
23570+2305,GIC 196,,1961,2016,8,163,149,10.0,6.5,10.7,11.9,K7,-75.0,-271.0,-75.0,-271.0,N,235654.83+230508.4,281.18677067031444,281.18677067031444,0.0,2848273159379049344,2848273159379049600,27.8476,27.8844,0.014600000344216824,0.02370000071823597,10.525644,11.508089,-71.011,-263.734,-78.241,-259.77,0.0019323426405506439,398.57428035618113,0.00630245876149605
09466+7047,KPP 556,,1999,2016,10,23,23,5.2,5.2,10.6,12.9,,-63.0,-45.0,-62.0,-42.0,V,094633.74+704721.3,77.42092740338364,74.88658090739622,0.04084525678298932,1071654852147242112,1071654847851328640,7.7204,7.7613,0.013399999588727951,0.0272000003606081,10.328534,12.404177,-62.209,-43.861,-63.561,-41.966,0.005015550507664557,1034.5315536859557,0.01635853785835245
09013+1516,STF1300,AB,1830,2022,188,210,178,4.1,5.0,9.47,9.73,M0V:p,-126.0,-318.0,-108.0,-318.0,NOW,090117.48+151556.8,342.0526275297414,335.8392472597567,0.05262348115842175,610304720934423424,610304720935037184,54.1456,54.1667,0.01889999955892563,0.02500000037252903,8.73922,8.914331,-125.926,-321.219,-110.797,-314.27,0.0077747819750833,1603.663897703974,0.025357947265305967
15568+3530,HJ 577,,1827,2016,37,23,13,6.0,9.4,9.34,10.46,K0,-188.0,72.0,-187.0,74.0,NV,155648.71+353015.6,201.3156725145859,201.10942295178512,0.011107272223615775,1371903199628510464,1371903199628531072,11.5379,11.5625,0.01119999960064888,0.012299999594688416,9.146367,10.107822,-187.688,75.88,-189.326,76.263,0.008246228345811346,1700.9066920180912,0.026895599670949608
12211-2916,B 226,,1913,2016,9,223,223,6.1,6.2,9.76,12.1,G0V,-27.0,4.0,,,,122108.97-291624.9,27.294688127912362,-1.0,-1.0,3474624079994325504,3474624075699311872,5.9024,5.9398,0.019300000742077827,0.01759999990463257,9.543235,11.964244,-42.749,-12.757,-43.258,-11.985,0.01425738807179755,2940.7973882189845,0.04650138049199393
03162+5810,MLB 115,AB,1914,2020,107,39,0,2.8,5.1,10.3,11.38,M2V~:,431.0,-325.0,436.0,-305.0,O,031614.02+581001.4,539.8018154841645,532.0911576036573,0.03819092032804227,461701979229013376,461701979233050624,73.6188,73.5769,0.01940000057220459,0.01860000006854534,10.019066,10.193903,444.525,-324.641,415.277,-318.488,0.014750676377779826,3042.545405076377,0.048110271762486
22282+2332,STF2910,,1832,2019,118,347,332,5.3,5.8,9.05,9.67,K0IV,41.0,-42.0,39.0,-40.0,,222813.25+233157.2,58.69412236331676,55.86591089385369,0.048189273659093486,1875535806402317696,1875535806401931264,20.206,20.2486,0.021800000220537186,0.014700000174343586,8.805667,9.373312,39.736,-39.086,33.488,-40.834,0.014903955893863952,3074.1615747631176,0.04861020267992774
19036-8337,GLI 247,,1850,2016,16,125,114,10.9,10.0,9.36,9.99,G5,-4.0,-53.0,-3.0,-54.0,T,190336.03-833725.1,53.150729063673246,54.08326913195984,0.026607604209509573,6347160055089296384,6347160055089296000,10.8167,10.8373,0.011300000362098217,0.01119999960064888,9.209615,9.700963,-4.175,-51.907,-3.196,-53.021,0.016208144914187983,3343.1698703498446,0.052863898347196084
19348+7501,STF2575,,1832,2015,22,35,33,7.2,7.6,9.72,12.15,F8,-2.0,-20.0,0.0,-16.0,,193448.98+750104.3,20.09975124224178,16.0,0.22249707974499242,2289073056006070528,2289073051709809792,5.4892,5.5135,0.013000000268220901,0.011800000444054604,9.555756,11.779409,-3.22,-14.986,-2.043,-16.08,0.016517234903460576,3406.924257100073,0.05387201506009264
10354+2616,STF1451,AB,1827,2016,28,267,271,5.0,8.5,9.53,10.7,G5,53.0,-205.0,15.0,-206.0,N,103524.86+261609.7,211.74040710265956,206.54539452623968,0.17952716790171394,727914738113756928,727914939978316288,10.6796,10.7078,0.01600000075995922,0.0142000000923872,9.547647,10.728841,50.389,-205.829,50.674,-204.436,0.0174864275602431,3606.834592667429,0.05703309872255119
08445+2012,SLE 339,,1894,2017,12,123,121,6.5,6.7,10.2,10.2,,-2.0,-67.0,,,N,084427.95+201207.4,67.02984409947557,-1.0,-1.0,661388752716658816,661388752716658688,9.9564,9.9918,0.019099999219179153,0.01860000006854534,10.300737,10.455967,-1.131,-66.179,-0.223,-65.646,0.02311843867394714,4768.5202738170865,0.0754022621636127
20133+4038,GRV 324,,1999,2016,11,253,252,7.6,7.7,10.6,11.1,,32.0,-20.0,25.0,-21.0,,201318.24+403842.2,37.73592452822641,32.64965543462902,0.18738292224896538,2062485390533084544,2062485390533085568,19.5991,19.6324,0.010400000028312206,0.013299999758601189,10.869371,11.14828,29.13,-21.526,26.768,-25.437,0.02495316518879065,5146.959782917693,0.08138633970543493
19149+0209,BAL1514,,1909,2016,19,181,172,9.1,8.5,10.32,11.25,M0,347.0,392.0,368.0,396.0,NV,191458.96+020954.6,523.5198181540027,540.5922677952395,0.040834286659504,4267889936728497920,4267889936728496768,37.2395,37.2314,0.01549999974668026,0.01549999974668026,9.758449,10.593306,353.721,388.672,365.236,395.108,0.028200944765170988,5816.86240797306,0.09197917992798124
15370-1659,HWE 35,AB,1876,2018,17,330,331,4.0,7.3,10.32,10.8,F7/8V,-26.0,-36.0,,,,153702.38-165842.9,44.40720662234904,-1.0,-1.0,6261468654310255744,6261468650009515520,7.3961,7.4301,0.017400000244379044,0.018200000748038292,10.011599,10.76245,-20.617,-32.373,-20.539,-31.878,0.029118393379036434,6006.099768553683,0.09497149709437726
10223-6009,LDS 303,,1991,2016,7,20,20,8.9,8.9,10.89,12.54,M3,344.0,-413.0,344.0,-413.0,,102224.60-601037.6,537.4988372080446,537.4988372080446,0.0,5254819339127880448,5254819442196925696,45.0178,44.9962,0.019300000742077827,0.01810000091791153,9.970008,11.452554,346.555,-414.615,347.652,-414.238,0.0291259768674621,6007.663975324481,0.09499623112553097
10410+0336,J 1369,,1910,2017,22,117,121,7.9,7.5,10.11,11.73,K2,128.0,-132.0,125.0,-134.0,V,104102.02+033546.6,183.86951895297926,183.25119372053214,0.01960929302472387,3857661770395728256,3857661701676251392,17.0223,17.0506,0.017500000074505806,0.019300000742077827,9.846614,11.229358,127.525,-132.114,123.557,-133.233,0.029289143744698265,6041.319559643542,0.09552841030195798
20455+0201,BAL1571,,1909,2016,11,311,307,7.6,6.8,10.74,12.0,,-27.0,-68.0,,,,204530.41+020050.8,73.16419889536138,-1.0,-1.0,4231853855392895104,4231853855392895360,9.119,9.1523,0.014399999752640724,0.0215000007301569,10.421336,11.263111,-30.55,-66.186,-31.876,-67.667,0.031176841882256667,6430.685250240031,0.10168525816964488
18340+5058,ES 785,AB,1904,2018,18,99,98,9.0,9.4,9.56,10.0,G0V,7.0,105.0,17.0,98.0,U,183358.79+505818.3,105.23307464861035,99.46356116689167,0.11599542878028885,2145156879534315776,2145156913894054272,6.442,6.4893,0.009800000116229057,0.03880000114440918,9.377094,10.896314,7.935,104.506,5.254,105.542,0.03123701295945125,6443.09642581925,0.10188150997545588
05083-4449,HJ 3729,AB,1835,2016,16,230,234,10.0,9.8,9.73,10.25,K0IV+K0IV,21.0,96.0,22.0,98.0,TW,050816.19-444903.9,98.2700361249552,100.43903623591775,0.022754321313737173,4810658659111766784,4810658663408687744,15.8192,15.8502,0.010099999606609344,0.010900000110268593,9.46357,9.6915,21.482,96.478,22.023,98.221,0.039884331548435625,8226.733919133027,0.13008529105491393
12387-0520,STF1665,,1828,2016,38,90,102,6.0,8.6,9.06,9.71,K0,313.0,-111.0,308.0,-111.0,N,123844.27-051939.6,332.0993827154757,327.3912033027155,0.015055734097174525,3680089852236243584,3680089852236243712,22.3404,22.3586,0.021700000390410423,0.016599999740719795,8.808338,9.340378,312.5,-108.52,306.776,-112.901,0.0402310555623302,8298.250880680207,0.13121615353930655
03500+2351,STT 64,BC,1847,2015,20,236,236,7.2,6.8,10.15,10.54,,19.0,-44.0,19.0,-44.0,N,034957.86+235053.4,47.92702786528704,47.92702786528704,0.0,66507469798631936,66507469798632320,7.3612,7.6428,0.03359999880194664,0.24570000171661377,10.005213,10.234675,21.027,-48.133,21.531,-43.565,0.04204746481576649,8672.912183405677,0.1371404881648261
18004-6142,RSS 466,,1975,2016,7,94,90,6.7,6.1,10.0,12.0,,-48.0,-326.0,,,,180026.09-614204.0,329.5147948120084,-1.0,-1.0,6634945953670365952,6634945988032403072,24.9262,24.9524,0.017000000923871994,0.03590000048279762,9.844214,11.624675,-45.015,-324.341,-54.138,-318.152,0.0429607720959595,8861.29533259875,0.14011929810732693
09109-4519,HJ 4186,,1835,2016,19,274,282,8.0,9.0,9.87,10.32,K0V,-190.0,39.0,-187.0,40.0,NV,091050.34-451831.3,193.96133635340834,191.23022773609824,0.016303649580999658,5330749722306174976,5330749619229282048,13.8646,13.8949,0.011900000274181366,0.010099999606609344,9.594487,10.073436,-189.621,40.697,-190.275,41.67,0.04307829739538249,8885.536665713365,0.14050261436682573
02239+3330,STF 258,CD,1832,2016,31,27,30,5.9,6.4,10.16,10.61,,-38.0,-32.0,-36.0,-34.0,NV,022357.67+332926.6,49.678969393496885,49.51767361255979,0.0569340942309572,326603989092289152,326603989092288896,10.1364,10.1723,0.0210999995470047,0.01940000057220459,10.044238,10.528139,-36.707,-30.171,-37.35,-30.279,0.04460472881504529,9200.385746739594,0.14548116779352818
01055+1523,STF 87,,1829,2019,125,193,204,6.6,6.0,9.24,9.93,K3.5V+K8V,7.0,-198.0,6.0,-197.0,NV,010529.91+152324.2,198.12369873389704,197.0913493789111,0.007138033316612703,2783518418493208832,2783518212334778880,36.6981,36.8781,0.020400000736117363,0.09860000014305115,8.768527,9.213501,7.734,-199.039,3.702,-191.991,0.04516885446161467,9316.745013928245,0.14732109956815
09226+6251,MLB 203,AB,1907,2019,23,90,92,6.6,7.6,10.04,10.3,G,-143.0,-41.0,-141.0,-43.0,NT,092235.60+625035.3,148.7615541731129,147.41099009232656,0.01901315928344475,1040254960426076416,1040254964721358592,12.3238,12.3432,0.013000000268220901,0.01360000018030405,9.78093,10.165293,-142.915,-40.917,-140.837,-43.53,0.04733485073880672,9763.513816375194,0.15438563456731913
18069+1408,FAL 61,,1991,2016,8,130,129,6.4,6.5,9.81,12.21,,38.0,-235.0,39.0,-238.0,V,180655.08+140818.1,238.05251521460553,241.17421089328766,0.013283949792832771,4498040329083118592,4498040324786097792,18.768,18.7851,0.016499999910593033,0.017400000244379044,10.017805,11.788887,37.771,-238.122,41.936,-238.217,0.047653915833699045,9829.32571635337,0.1554262857233784
15205+2206,COU 104,,1892,2019,15,117,115,5.6,5.7,10.1,11.1,K2,25.0,-2.0,27.0,1.0,,152032.06+220608.7,25.079872407968907,27.018512172212592,0.14376274395711666,1215046973888838016,1215046973888837760,11.1064,11.1321,0.013799999840557575,0.017799999564886093,9.878792,11.49377,26.59,-0.668,25.077,-0.028,0.04773723433189048,9846.511390239626,0.15569803431904758
